count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
942,471000,83.320999,23.000000,0.000000,0.000000,0.000000,1.896000, 
945,472500,82.682999,23.795000,0.000000,0.000000,0.000000,2.599000, 
948,474000,81.607002,24.101000,0.000000,0.000000,0.000000,3.124000, 
951,475500,80.481003,24.052999,0.000000,0.000000,0.000000,-3.118000, 
954,477000,79.352997,24.055000,0.000000,0.000000,0.000000,3.097000, 
957,478500,78.237999,24.209000,0.000000,0.000000,0.000000,2.930000, 
960,480000,77.167000,24.556999,0.000000,0.000000,0.000000,2.713000, 
963,481500,76.225998,25.167000,0.000000,0.000000,0.000000,2.430000, 
966,483000,75.456001,25.989000,0.000000,0.000000,0.000000,2.250000, 
969,484500,74.864998,26.930000,0.000000,0.000000,0.000000,2.023000, 
972,486000,74.457001,27.969999,0.000000,0.000000,0.000000,1.847000, 
975,487500,74.236000,29.068001,0.000000,0.000000,0.000000,1.732000, 
978,489000,74.082001,30.181000,0.000000,0.000000,0.000000,1.679000, 
981,490500,73.997002,31.302000,0.000000,0.000000,0.000000,1.615000, 
984,492000,73.986000,32.430000,0.000000,0.000000,0.000000,1.564000, 
987,493500,73.977997,33.556999,0.000000,0.000000,0.000000,1.582000, 
990,495000,73.963997,34.679001,0.000000,0.000000,0.000000,1.570000, 
993,496500,73.973999,35.812000,0.000000,0.000000,0.000000,1.567000, 
996,498000,73.963997,36.945999,0.000000,0.000000,0.000000,1.590000, 
999,499500,73.971001,38.081001,0.000000,0.000000,0.000000,1.531000, 
1002,501000,74.023003,39.216000,0.000000,0.000000,0.000000,1.538000, 
1005,502500,74.054001,40.353001,0.000000,0.000000,0.000000,1.551000, 
1008,504000,74.082001,41.491001,0.000000,0.000000,0.000000,1.535000, 
1011,505500,74.139999,42.618999,0.000000,0.000000,0.000000,1.510000, 
1014,507000,74.214996,43.755001,0.000000,0.000000,0.000000,1.491000, 
1017,508500,74.316002,44.894001,0.000000,0.000000,0.000000,1.474000, 
1020,510000,74.415001,46.034000,0.000000,0.000000,0.000000,1.504000, 
1023,511500,74.489998,47.179001,0.000000,0.000000,0.000000,1.508000, 
1026,513000,74.556999,48.320000,0.000000,0.000000,0.000000,1.514000, 
1029,514500,74.616997,49.449001,0.000000,0.000000,0.000000,1.516000, 
1032,516000,74.678001,50.583000,0.000000,0.000000,0.000000,1.508000, 
1035,517500,74.749001,51.712002,0.000000,0.000000,0.000000,1.510000, 
1038,519000,74.815002,52.848999,0.000000,0.000000,0.000000,1.509000, 
1041,520500,74.882004,53.973000,0.000000,0.000000,0.000000,1.508000, 
1044,522000,74.959999,55.122002,0.000000,0.000000,0.000000,1.501000, 
1047,523500,75.052002,56.264000,0.000000,0.000000,0.000000,1.486000, 
1050,525000,75.146004,57.393002,0.000000,0.000000,0.000000,1.487000, 
1053,526500,75.249001,58.523998,0.000000,0.000000,0.000000,1.475000, 
1056,528000,75.351997,59.650002,0.000000,0.000000,0.000000,1.480000, 
1059,529500,75.460999,60.786999,0.000000,0.000000,0.000000,1.467000, 
1062,531000,75.606003,61.917000,0.000000,0.000000,0.000000,1.427000, 
1065,532500,75.776001,63.043999,0.000000,0.000000,0.000000,1.488000, 
1068,534000,75.758003,64.181999,0.000000,0.000000,0.000000,1.634000, 
1071,535500,75.643997,65.304001,0.000000,0.000000,0.000000,1.711000, 
